,Title,Desc_of_movies
15,13TH: A Conversation with Oprah Winfrey & Ava DuVernay ,"Oprah Winfrey sits down with director Ava DuVernay to discuss her Oscar-nominated film, historical cycles of oppression and the broken prison system."
16,14 Minutes from Earth ,A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.
17,15 August ,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
18,17 Again ," Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" -- and that's exactly what he gets when he wakes up to find he's 17 again."
19,18 Presents (18 regali) ,A pregnant mother with terminal cancer leaves behind 18 sentimental gifts for her unborn daughter to receive every birthday until she reaches womanhood.
20,1920 ,An architect and his wife move into a castle that is slated to become a luxury hotel. But something inside is determined to stop the renovation.
21,1922 ,"A farmer pens a confession admitting to his wife's murder, but her death is just the beginning of a macabre tale. Based on Stephen King's novella."
22,1991 ,"A film student from Canada decides to follow the love of his life to Italy, where complications quickly ensue."
23,1BR ,"Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community."
24,2 Alone in Paris (Seuls Two) ," A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
25,2 Fast 2 Furious ," It's a major double-cross when former cop Brian teams up with his ex-con buddy to transport a shipment of ""dirty"" money for a shady importer-exporter."
26,2 Guns ," Two special agents -- one Naval intelligence, one DEA -- partner for an undercover sting against a drug cartel that takes a serious wrong turn."
27,2 Minutes of Fame ,"Before an aspiring stand-up comic competes in a talent showcase, he must contend with a superstar who he publicly ridiculed to gain viral notoriety."
28,2 States ,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences."
29,"2,215 ","This intimate documentary follows rock star Artiwara Kongmalai on his historic, 2,215-kilometer charity run across Thailand in 2017."
30,2015 Dream Concert ,"The world's biggest K-pop festival marked its 21st year in 2015, with groups such as EXO, 4Minute and SHINee electrifying the Seoul World Cup Stadium."
31,21 , A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.
32,21 Again ,"In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z."
33,21 Jump Street ,"When two rookie cops go undercover to probe a drug ring at their former high school, they&#39;re forced to face unresolved issues from their teen years."
34,211 ,"While on a routine patrol, an aging cop, his partner and their ride-along get caught in a standoff with a band of former mercenaries robbing a bank."
35,22 July ,"After devastating terror attacks in Norway, a young survivor, grieving families and the country rally for justice and healing. Based on a true story."
36,22 Jump Street ,"Bickering partners Schmidt and Jenko are sent undercover once again, this time on a college campus to crack a fraternity's drug-dealing crime ring."
37,23:59 ,"When an army recruit is found dead, his fellow soldiers are forced to confront a terrifying secret that's haunting their jungle island training camp."
38,The 24 Hour War ,An intense rivalry between Henry Ford II of the Ford Motor Company and Enzo Ferrari results in the most epic showdown in racing history.
39,25 Kille ,"Four brothers learn that they have inherited ancestral land, but must fight to claim it when a greedy feudal lord threatens to take it over."
40,26 Years ,"Twenty-six years after the 1980 massacre at Gwangju, South Korea, three relatives of the victims come together to avenge the infamous orchestrator."
41,3 Deewarein (Three Walls) ,"A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them."
42,3 Heroines (3 Srikandi) ,Three Indonesian women break records by becoming the first of their nation to medal in archery at the Seoul Olympics in the summer of 1988.
43,3 Idiots ,"While attending one of India's premier colleges, three miserable engineering students and best friends struggle to beat the school's draconian system."
44,3 Ninjas: Kick Back , The Three Ninjas return to defend their grandfather from a trio of dimwitted thugs who are out to reclaim a championship dagger.
45,3 Seconds Divorce ,"A Muslim women's activist group in India protests against oral divorces, starting a movement to reclaim their religious and constitutional rights."
46,3 Türken & ein Baby , The lives of three dissatisfied brothers running a family bridal shop turn topsy-turvy when one of them has to care for his ex-girlfriend's baby.
47,30 Days of Luxury (Talatin Yom fi el-Izz) ,"With the help of his friends, a man breaks out of prison in hopes of restoring a lively nightclub."
48,30 Minutes or Less , Two crooks planning a bank heist wind up abducting a pizza delivery guy and force him to commit the robbery -- giving him a strict time limit to boot.
49,3022 ," Stranded when the Earth is suddenly destroyed in a mysterious cataclysm, the astronauts aboard a marooned space station slowly lose their minds."
50,365 Days ,"A fiery executive in a spiritless relationship falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him."
51,The 36th Chamber Of Shaolin ," After a corrupt general occupies his village and terrorizes his family, San Te vows revenge and leaves home to study the ancient fighting arts."
52,37 Seconds ,"Trapped by society and familial obligations, a young manga artist goes on an unconventional journey for sexual freedom and personal liberation."
53,3:10 to Yuma ,"In this remake of the 1957 classic, a rancher agrees to transport a captured outlaw to the nearest rail station, where he'll board a train to prison."
54,The 3rd Eye 2 ,"Working in an orphanage, Alia meets teen Nadia, who says she hears a strange voice in the walls. When they try to find the source, things go very wrong."
55,The 3rd Eye (Mata Batin) ,"When her little sister claims she sees the dead, Alia consults a psychic, who opens her own eyes to the vengeful ghosts haunting their childhood home."
56,40 Days and 40 Nights ,"Reeling from a rough breakup, a web designer pledges celibacy for Lent but his vow gets tested when he meets a compelling stranger."
57,47 Metres Down ," With little oxygen left in their scuba tanks, two sisters are trapped in a shark cage at the bottom of the ocean while great whites circle nearby."
58,4L (4 Latas) ,"Hoping to reunite with a dying friend, two longtime pals re-create their desert road trip from Spain to Mali, bringing along his estranged daughter."
59,The 4th Company (La 4ª Compañía) ,"In a violent prison in 1970s Mexico, a young inmate lands a spot on a football team that doubles as an enforcer squad for a corrupt administration."
60,4th Republic ,"After the election-night murder of her campaign manager at a polling site, a gubernatorial candidate challenges the corrupt incumbent's victory."
61,5 Cowok Jagoan ,Yanto asks his friends to help save a girlfriend who was kidnapped by a mobster. Silly slapstick and campy crimefighting ensues.
62,5 Star Christmas (Natale a 5 Stelle) ,"When the Italian prime minister meets his lover and political rival while on an official trip to Budapest during Christmas week, things go topsy-turvy."
63,50 First Dates ," After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day."
64,5Gang ,"To keep the band together, Selly tries to earn money by making an appearance at the birthday party of a mobster's daughter -- until he gets kidnapped."
65,The 5th Wave ,"After four waves of destruction turn Earth into a wasteland, a teen desperate to find her brother teams with a stranger to prepare for the fifth."
66,6 Balloons ,A loyal sister struggles to stay afloat while driving her heroin-addicted brother to a detox center and looking after his 2-year-old daughter.
67,6 Underground ,"After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
68,6 Years ,"As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
69,The 6th Day ,"A helicopter pilot on the hit list of a murderous tycoon escapes alive. But the tycoon has cloned him, and now he must fight to get his identity back."
70,7 años ,Loyalties are tested and cruelties revealed when four business partners spend a tense evening debating who will pay for the crime they committed.
71,7 Din Mohabbat In (Love in 7 Days) ,"Given just seven days by a genie to find a girl who will fall for him, a nerdy young man embarks on a madcap and messy search for his would-be wife."
72,7 Khoon Maaf ,"Spiced liberally with black comedy, this Bollywood drama follows the lethal love life of a woman who marries numerous men -- only to find them flawed."
73,706 ,"When a doctor goes missing, his psychiatrist wife treats the bizarre medical condition of a psychic patient, who knows much more than he's leading on."
74,7:19 ,"After a devastating earthquake hits Mexico City, trapped survivors from all walks of life wait to be rescued while trying desperately to stay alive."
75,90 ML ,Four friends shake up their lives when they meet a new woman in their apartment complex who encourages them to embrace their wild sides.
76,93 Days , Heroic health workers fight to contain an Ebola outbreak when a patient arrives in Lagos with symptoms of the deadly virus. Based on a true story.
77,The 9th Precinct ,An idealistic cop joins an underground police unit and battles ghoulish forces threatening the balance between the human and the supernatural realms.
78,A 2nd Chance ," A gymnast lacks the confidence she needs to reach the top. But with the help of her new coach, she has the chance to win a spot on the national team."
79,A 3 Minute Hug ,This documentary captures the joy and heartbreak of families separated by the U.S.-Mexico border sharing a short but bittersweet reunion in 2018.
80,A Babysitter's Guide to Monster Hunting ,"Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween."
81,A Beautiful Life ,"After meeting under awkward circumstances, a glamorous businesswoman and a tradition-bound policeman begin a relationship that changes their lives."
82,A Belle for Christmas ,"When a recent widower's new girlfriend tries to get rid of the family's new puppy, his two young kids step in to save their furry friend."
83,A Billion Colour Story ,The curious child of idealistic interfaith parents observes an increasingly intolerant world as his family faces financial strain.
84,A Champion Heart (A Horse from Heaven) ,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
85,A Chaster Marriage (El Degmemis Ask) ,"Forced to wed his childhood friend, a man obsessed with football attempts to get rid of his wife in order to keep the woman he truly loves."
86,A Choo (Da pen ti) ,"Determined to win the heart of his childhood crush from orphanage, EJ becomes a boxer with superpowers and soon confronts a formidable villain."
87,A Christmas Prince ,Christmas comes early for an aspiring young journalist when she's sent abroad to get the scoop on a dashing prince who's poised to be king.
88,A Christmas Prince: The Royal Baby ,"Christmas brings the ultimate gift to Aldovia: a royal baby. But first, Queen Amber must save her family and kingdom by unwrapping a monarchy mystery."
89,A Christmas Prince: The Royal Wedding ,"A year after helping Richard secure the crown, Amber returns to Aldovia to plan their wedding. But her simple tastes clash with royal protocol."
90,A Cinderella Story: Christmas Wish ,"Despite her vain stepmother and mean stepsisters, an aspiring singer works as an elf at a Christmas tree lot and finds her own holiday miracle."
91,A Fall from Grace ,"When gentle, law-abiding Grace confesses to killing her new husband, her skeptical young lawyer sets out to uncover the truth. A film by Tyler Perry."
92,A Family Man ,A ruthless corporate headhunter battles his rival for a promotion while dealing with a family crisis that threatens to derail his career.
93,A Family Reunion Christmas ,M'Dear and her sisters struggle to keep their singing act together before a church Christmas pageant while Grandpa teaches the kids a valuable lesson.
94,A Flying Jatt ,A timid man gets unexpected superpowers while trying to save his family's land and a sacred tree from a ruthless tycoon.
95,A Fortunate Man ,"A gifted engineer flees his austere roots to pursue wealth and success among Copenhagen's elite, but the pride propelling him threatens to be his ruin."
96,A Futile and Stupid Gesture ,"In a brief life full of triumph and failure, ""National Lampoon"" co-founder Doug Kenney built a comedy empire, molding pop culture in the 1970s."
97,A Girl Like Grace ," A 17-year-old girl living in a Mississippi trailer park with her troubled mom grapples with her sexuality, peer pressure and a devastating loss."
98,A Grand Night In: The Story of Aardman ,"Aardman Animations icons Wallace & Gromit, Morph and more join fans and collaborators for a retrospective celebrating the studio's 40th anniversary."
99,A Gray State ,"This documentary dissects the case of a filmmaker whose death, along with the deaths of his wife and daughter, sparked alt-right conspiracy theories."
100,A Haunted House ,"In this spoof of horror films like ""Paranormal Activity,"" an immature guy freaks out when his girlfriend moves in and is possessed by an evil spirit."
101,A Haunted House 2 ," Marlon Wayans returns in this spoofy sequel as the grieving Malcolm, who's trying to move on after his girlfriend's untimely tragic death."
102,A Heavy Heart ,"Long past his heyday, a still-virile boxer tries to reconnect with his daughter as he confronts the onset of a terminal, degenerative neural disorder."
103,A hologram for the king ,A broke American businessman trying to sell an IT contract to Saudi Arabia's king finds himself changed by an unfamiliar culture and a new romance.
104,A Home Fireplace: Bright Edition ,"A crackling fire, a motley group of friends and a mischievous fairy: The classic holiday backdrop just got a little more magical."
105,A Home with A View ,"When a neighbor blocks their view of the city with a commercial billboard, a Hong Kong family resorts to drastic, imaginative measures to take it down."
106,A Kid from Coney Island ,"From gifted athlete to professional NBA hooper, Coney Island's Stephon Marbury navigates the pressures, pitfalls and peaks of his basketball journey."
107,A King in New York ,"A deposed European monarch seeks refuge in 1950s New York City, where overnight fame turns into a fight for freedom."
108,A Knight's Tale ,"After a young squire finds a way to pass himself off as a bona fide knight, he becomes a jousting champion while romancing an admiring princess."
109,A Land Imagined ,A cop in Singapore investigates the disappearance of a Chinese migrant construction worker who spent sleepless nights playing a mysterious video game.
110,A Life of Speed: The Juan Manuel Fangio Story ,"Juan Manuel Fangio was the Formula One king, winning five world championships in the early 1950s -- before protective gear or safety features were used."
111,The A List ,"Romance, rivalry and radical mystery collide as a group of teens attend a remote island sleepaway camp in this suspenseful, supernatural drama."
112,A Little Thing Called First Love ,A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.
113,A Love Song for Bobby Long ,A teenager returns to New Orleans to reclaim her childhood home and finds two of her late mother's friends who've been squatting there for years.
114,A Love Song for Latasha ,The killing of Latasha Harlins became a flashpoint for the 1992 LA uprising. This documentary evocatively explores the 15-year-old's life and dreams.
115,A Love Story ,"Self-made millionaire Ian thinks he's found happiness when he marries caring Joanna, but his love is put to the test when he meets stewardess Karyn."
116,A mighty Team (La Dream Team) ,"When a fit of anger leads to a serious injury, a sidelined soccer star returns to his hometown and reluctantly agrees to train the local youth."
117,A Mission in an Old Movie ,A young man struggles with his overbearing mother while looking for romance and a way to kick-start his show business career.
118,A New Capitalism (Um Novo Capitalismo) ,"Entrepreneurs worldwide explore alternatives to current capitalist structures, advocating for profitable businesses that also tackle social inequality."
119,A Night at the Roxbury ,"After a run-in with Richard Grieco, dimwits Doug and Steve gain entry to a swanky nightclub in this comedy based on a ""Saturday Night Live"" sketch."
120,A Noble Intention (Publieke werken) ,"In 1888 Amsterdam, a headstrong violin maker finds himself immersed in peril and tragedy after challenging businessmen who threaten his community."
121,A Perfect Christmas List ,A children's author reluctantly agrees to collaborate with her estranged mom to complete a holiday to-do list at the request of her ailing grandmother.
122,A Perfect Ending ," After confessing an unusual secret, a repressed wife -- prompted by her friends -- decides to explore her sexuality with a high-priced call girl."
123,A Plastic Ocean ," When he discovers the world's oceans brimming with plastic waste, a documentary filmmaker investigates the pollution's environmental impacts."
124,A Remarkable Tale (Never Seen) ,"The residents of an isolated town look to revive their home's identity when a group of foreigners unexpectedly arrive, bringing culture shock with them."
125,A River Runs Through It ," Director Robert Redford's Oscar-winning, nostalgic meditation about the bonds that unite and divide families is set in Montana in the early 1900s."
126,A Second Chance ,"Following their storybook wedding, Popoy and Basha find married life -- and starting a business together -- more challenging than they ever imagined."
127,A Secret Love ,"Amid shifting times, two women kept their decades-long love a secret. But coming out later in life comes with its own set of challenges."
128,A Shaun the Sheep Movie: Farmageddon ,Shaun and the flock race to help an adorable alien find her way home after her ship crash-lands near Mossy Bottom Farm and sparks a UFO frenzy.
129,A Silent Voice ,A former class bully reaches out to the deaf girl he'd tormented in grade school. He feels unworthy of redemption but tries to make things right.
130,A Sort of Family ,An Argentine doctor faces legal and ethical challenges when she travels to the countryside to pick up the infant she has been waiting to adopt.
131,A Sort of Homecoming ,Ace news producer Amy is called back to her Louisiana hometown where memories of what used to be -- and what might have been -- come flooding back.
132,A Star Is Born ,"When an aspiring singer develops a passionate relationship with a seasoned musician, her career begins to soar as his vices trigger a downward spiral."
133,A StoryBots Christmas ,"Bo thinks her holiday gift-giving isn't good enough, so she heads north to study under Santa Claus -- only to find he's missing."
134,A Suitable Girl ,This documentary follows three young women in India as they fight to maintain their independence in the face of increasing pressure to marry.
135,A Sun ,A family reckons with the aftermath of their younger son's incarceration and a greater misfortune that follows.
136,A Tale of Two Kitchens ,"Mexico City restaurant star Gabriela Cámara opens sister eatery Cala in San Francisco, with a similar menu and unusually welcoming kitchen culture."
137,A Thousand Words ,"When he learns his karma will permit him to speak just a thousand more words before he dies, fast-talking agent Jack must make every syllable count."
138,A Toot-Toot Cory Carson Halloween ,"Cory, Chrissy and Freddie are on the hunt for king-sized candy bars this Halloween! But are all the treats worth the trek to the spooky side of town?"
139,A Toot-Toot Cory Carson Summer Camp ,"Cory's spending the summer at Camp Friendship with his best friend, Freddie. But jealousy flares when Freddie brings his cousin Rosie along for the ride."
140,A Trip to Jamaica ,A newly engaged couple's romantic vacation in Jamaica turns into a mischievous adventure that tests their union in wild and unexpected ways.
141,A truthful Mother (Punyakoti) ,"Facing a drought, a hungry tiger and a noble cow have an extraordinary encounter in this fable based on a children's book and a Kannada folk song."
142,A Twelve Year Night (La noche de 12 años) ,Future Uruguayan president Jos&eacute; Mujica and his fellow Tupamaro political prisoners fight to survive 12 years of solitary confinement and torture.
143,A Very Murray Christmas ,"Bill Murray rounds up an all-star cast for an evening of music, mischief and barroom camaraderie in this irreverent twist on holiday variety shows."
144,A Walk Among the Tombstones ," A drug kingpin hires troubled ex-cop Matt Scudder to find his wife's killers, a hunt that leads to shocking revelations in New York's underworld."
145,A Week in Watts ,"Los Angeles police officers embark on an innovative program mentoring promising students from the harsh, gang-infested Watts neighborhood."
146,A Whisker Away (Nakitai watashi wa neko wo kaburu) ,"A peculiar girl transforms into a cat to catch her crush's attention. But before she realizes it, the line between human and animal starts to blur."
147,A Witches' Ball ,"Beatrix can't wait to be inducted as a witch, but an unfortunate incident threatens to take her pending title away if she doesn't act fast."
148,A Woman of Paris ,"After leaving her beau and small-town home, young Marie St. Clair becomes a wealthy man's mistress until she revives her old romance to tragic results."
149,A YELLOW BIRD ,"In Singapore, a homeless ex-convict hoping to reunite with his family forms a bond with a Chinese sex worker while serving as her bodyguard."
150,A.M.I. ," After losing her mother, a teenage girl bonds with her phone's artificial intelligence app, a relationship that soon takes a dark and violent turn."
151,A.X.L. ,"Young motocross racer Miles Hill helps a top-secret robotic combat dog evade its ruthless creator and the military, who are in hot pursuit."
152,Aadu 2 ,"When Shaji Pappan and his gang of goofy outlaws find themselves low on funds, they plan to once again win a hefty prize in a tug-of-war competition."
153,Aagey Se Right ,"A cop full of self-doubt loses his gun five days before he's due to leave the force, and becomes an unexpected hero as he tries to retrieve it."
154,Aakhri Adaalat ,An intrepid police inspector forced into a desk job must take matters into his own hands when ruthless criminals are released on a technicality.
155,Aalorukkam ,"When an aging father seeks the help of a doctor and a journalist to look for the son who left him 16 years ago, he learns some surprising truths."
156,Aamir ,"In this high-tension thriller, an anonymous caller on a cell phone threatens to harm a man's family if he doesn't carry out every order."
157,Aapla Manus ,"When a man falls from his balcony, an investigator questions the victim's family, determined to uncover a darker truth behind the alleged accident."
158,Aarakshan , The decision by India's supreme court to establish caste-based reservations for jobs in education causes conflict between a teacher and his mentor.
159,Aashik Awara ,"Raised by a kindly thief, orphaned Jimmy goes on the run from goons and falls in love with Jyoti, whose father indirectly caused his parents' deaths."
160,Aaviri ,"After losing their first child in an accident, a couple moves to a palatial home, where their young daughter comes under the spell of an eerie spirit."
161,ABCD 2 ,"After being accused of cheating on a reality TV show, a dance troupe seeks to redeem itself by winning the World Hip-Hop Dance Championship."
162,ABCD: Any Body Can Dance ,"Thrown out of the elite dance studio he founded, Vishnu's spirits rebound when he sees young street dancers prepping for an annual contest."
163,Abdo Mota (Abdu Mouta) ,"Following the mysterious death of his parents, a young man finds himself enmeshed in the dark world of drugs and crime."
164,Abducted in Plain Sight ,"In this true crime documentary, a family falls prey to the manipulative charms of a neighbor, who abducts their adolescent daughter. Twice."
165,"Abdullah, The Final Witness ","Inspired by real events, this drama follows a trucker jailed after driving five ill-fated travelers across Quetta, and the officer taking on his case."
166,About Last Night ," After a couple's flirtation quickly moves from the bar to the bedroom, they test if their physical chemistry is enough to carry a real relationship."
167,Abzurdah ,A disenfranchised 16-year-old girl connects to an older man on the internet and after a brief one-sided affair descends into obsession and anorexia.
168,Accepted ," Rejected by eight colleges, Bartleby and his slacker friends convince their parents that they've been accepted at a school of their own invention."
169,Accident ,A contract killer skilled at staging lethal accidents fears he may be a victim of his own strategy when an accomplice dies in a mysterious mishap.
170,The Accidental Spy ,"Nursing a broken heart, an IT specialist moves to London to audition for a reality TV show that unexpectedly turns into a real-life cartel drama."
171,Ace Ventura: Pet Detective ," Barely competent pet private eye Ace Ventura is put on the case when kidnappers with an ax to grind abduct Snowflake, the Miami Dolphins' mascot."
172,Across Grace Alley ,"A young boy, upset by his parents' divorce, becomes infatuated with his grandmother's neighbor, an entrancing dancer he watches through a window."
173,Act of Valour , An elite squad of Navy SEALs is tasked with rescuing a kidnapped CIA agent from a lethal terrorist cell in this covert-action thriller.
174,Action Figures 2 ,This sequel from X Games medalist Travis Pastrana salutes classic action sports entertainment and showcases extreme human performance.
175,Action Replayy ," Sick of his parents' constant squabbling, a young man travels back in time to the onset of their romance, with plans to set them up for marital bliss."
176,Adú ,"Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken."
177,Adam Devine: Best Time of Our Lives ,"Frenetic comic Adam Devine talks teen awkwardness, celebrity encounters, his ""Pitch Perfect"" audition and more in a special from his hometown of Omaha."
178,ADAM SANDLER 100% FRESH ,"From ""Heroes"" to ""Ice Cream Ladies"" -- Adam Sandler's comedy special hits you with new songs and jokes in an unexpected, groundbreaking way."
179,Addicted ,"With a caring husband, three kids and a great career, Zoe has it all, until she develops an insatiable hunger for sex with other men."
180,Adel Karam: Live from Beirut ,"From Casino du Liban, Lebanese actor and comedian Adel Karam delivers earthy punchlines on kissing norms, colonoscopies and a porn star named Rocco."
181,Adhugo ,A fast-footed piglet named Bunty becomes an object of desire for rival criminals that want the swift swine for their profitable animal-racing schemes.
182,Aditi Mittal: Things They Wouldn't Let Me Say ,"Trailblazing comic Aditi Mittal mixes topical stand-up with frank talk about being single, wearing thongs and the awkwardness of Indian movie ratings."
183,The Adjusters ,"An insurance adjuster investigates cases of possible fraud while hiding a romance with a colleague, unaware that someone he trusts is toying with him."
184,The Adjustment Bureau ," A successful new congressman finds himself entranced by a beautiful ballerina, but mysterious forces are conspiring to prevent their love affair."
185,Admission ,"While scouting applicants at an experimental high school, an Ivy League admissions officer has a hunch that she's connected to one of the students."
186,Adrift ,A young couple's sailing adventure becomes a fight to survive when their yacht faces a catastrophic hurricane in this story based on true events.
187,Adrishya ,A family's harmonious existence is interrupted when the young son begins showing symptoms of anxiety that seem linked to disturbing events at home.
188,Advantageous ,"In order to keep her job at a biomedical engineering firm that prizes youth, a middle-aged woman must submit to a drastic experimental procedure."
189,The Adventures of Elmo in Grouchland ,Elmo dives into Oscar the Grouch's trash can after a series of accidents sends the furry red monster's special blanket into Grouchland.
190,The Adventures of Milo and Otis ,"When mischievous Milo the cat and his pal Otis the dog become separated, the two cross mountains, plains and snow-covered lands to find each other."
191,The Adventures of Tintin ," This 3-D motion capture adapts Georges Remi's classic comic strip about the adventures of fearless young journalist Tintin and his trusty dog, Snowy."
192,The Aerial ,"In the City Without a Voice, only faceless singer the Voice can still vocalize. Everyone else has lost the power of speech as they let Mr. TV's broadcasts speak for them. But when Mr. TV kidnaps the Voice, things change."
193,Aerials ,Dubai residents struggle to figure out why a fleet of alien spaceships are hovering over their city when all contact with the outside world is cut off.
194,Afonso Padilha: Classless ,Brazilian comedian Afonso Padilha dives into his humble beginnings and digs out hilarious stories about his childhood in this very personal set.
195,The African Doctor ,"Happily escaping a dictatorship, a Congolese doctor transplants his family to a small French village, where culture shock sets in for everyone."
196,After Life ," Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help."
197,After Maria ,"Displaced by Hurricane Maria, three Puerto Rican women navigate their families' uncertain futures as their federal housing aid in New York expires."
198,The After Party ,An aspiring rapper and his best friend/manager have one night to bounce back from embarrassment and make their dreams of hip-hop stardom come true.
199,After Porn Ends 3 ,This third installment in a documentary series examines the lives of the adult film genre's biggest stars after their industry careers have ended.
200,After the Raid ,A large immigration raid in a small town leaves emotional fallout and hard questions for its churchgoers about what it means to love thy neighbor.
201,After The Wedding ,"To aid the orphanage in India she manages, Isabel travels to New York to accept a grant from millionaire Theresa, who's specifically asked to meet her."
202,Against All Odds ,"An ex-football player agrees to track down a sleazy nightclub owner's mistress -- but when he finds the elusive woman in Mexico, he falls in love."
203,Agatha and the Truth of Murder ,"In a dramatized depiction of her 11-day disappearance, novelist Agatha Christie solving a real murder amid a crisis in her writing and marriage."
204,The Age of Adaline ,"When a beautiful 29-year-old woman -- who has lived for more than a century but hasn't aged -- falls in love, the secrets of her past unravel."
205,The Age of Innocence ,New York aristocrat Newland Archer strains the intransigent mores of Gilded Age society when he falls for his fiancée's scandalous cousin.
206,Agent ,"A former footballer tries to make it as a player agent in the world of African soccer, but a secret from his past threatens to destroy everything."
207,Agneepath ,"A boy grows up to become a gangster in pursuit of the mobster who killed his innocent father, but revenge and reparation may come at great costs."
208,Agustín Aristarán: Soy Rada ,"Argentine comedian Agustín ""Radagast"" Aristarán adds doses of magic, music and acting to his high-energy stand-up routine."
209,Agyaat ,A film crew shooting in a remote forested location begins losing members one by one to a mysterious entity that they cannot see or hear.
210,Ahista Ahista ,"Stood up by her groom at the altar, a young woman finds help and healing from another man -- until her ex-fiancé returns, hoping to win her back."
211,Airplane Mode ,"When Ana, an influencer, crashes her car while talking on the phone, she's shipped to her grumpy grandfather's farm -- and forced into a digital detox."
212,Aiyaary ,"When his protégé goes rogue and poses a grave threat to the government he serves, a veteran officer of the Indian Army tries to stop him at all costs."
213,Aiyyaa ," An outspoken, imaginative girl from a conservative family pursues her dream man while fending off the prospect of an arranged marriage."
214,Ajab Prem Ki Ghazab Kahani ," A young man's obsession with making others happy drives him to help the girl he loves marry someone else, then try to win her heart."
215,Ajaibnya Cinta ,"Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series 'Spain Uoolss.'"
216,Ajji ,"When her small granddaughter is sexually assaulted by a powerful man and no justice is served, a poor, frail old woman plots her violent revenge."
217,Akulah Balqis ,"A little girl must enter an orphanage after her parents are arrested, but her life takes a dramatic turn when she escapes and meets a model."
218,Ala Vaikunthapurramuloo ,"After growing up enduring criticism from his father, a young man finds his world shaken upon learning he was switched at birth with a millionaire's son."
219,Alakada Reloaded ,"To cope with her feelings of inferiority, a woman from an impoverished family tells tall tales of her wealth and influence to upgrade her social status."
220,Alan Saldaña: Mi vida de pobre ,Mexican comic Alan Salda&ntilde;a has fun with everything from the pressure of sitting in an exit row to maxing out his credit card in this stand-up special.
